dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.214355,2.598300,3.617011,1.234493,-1.976744,-0.000000,6.275080
0.020000,3.238649,2.598147,3.641305,1.194958,-1.976744,0.000000,6.278604
0.020000,3.262152,2.598075,3.664809,1.155423,-1.976744,0.000000,6.281621
0.020000,3.284865,2.598070,3.687522,1.115888,-1.976744,0.000000,0.000985
0.020000,3.306788,2.598115,3.709445,1.076353,-1.976744,-0.000000,0.003108
0.020000,3.327919,2.598200,3.730576,1.036818,-1.976744,0.000000,0.004841
0.020000,3.348260,2.598313,3.750917,0.997283,-1.976744,0.000000,0.006220
0.020000,3.367810,2.598445,3.770468,0.957748,-1.976744,-0.000000,0.007280
0.020000,3.386569,2.598589,3.789227,0.918214,-1.976744,0.000000,0.008052
0.020000,3.404537,2.598739,3.807196,0.878679,-1.976744,0.000000,0.008567
0.020000,3.421715,2.598889,3.824374,0.839144,-1.976744,-0.000000,0.008855
0.020000,3.438102,2.599035,3.840762,0.799609,-1.976744,0.000000,0.008943
0.020000,3.453698,2.599174,3.856359,0.760074,-1.976744,-0.000000,0.008858
0.020000,3.468504,2.599303,3.871165,0.720539,-1.976744,0.000000,0.008625
0.020000,3.482518,2.599422,3.885180,0.681004,-1.976744,-0.000000,0.008267
0.020000,3.495743,2.599528,3.898405,0.641469,-1.976744,0.000000,0.007807
0.020000,3.508176,2.599622,3.910839,0.601935,-1.976744,0.000000,0.007266
0.020000,3.519819,2.599703,3.922483,0.562400,-1.976744,0.000000,0.006664
0.020000,3.530672,2.599772,3.933335,0.522865,-1.976744,-0.000000,0.006020
0.020000,3.540734,2.599829,3.943397,0.483330,-1.976744,0.000000,0.005351
0.020000,3.550005,2.599876,3.952668,0.443795,-1.976744,0.000000,0.004673
0.020000,3.558485,2.599913,3.961149,0.404260,-1.976744,-0.000000,0.004002
0.020000,3.566175,2.599941,3.968839,0.364725,-1.976744,0.000000,0.003350
0.020000,3.573074,2.599962,3.975738,0.325190,-1.976744,-0.000000,0.002731
0.020000,3.579183,2.599977,3.981846,0.285655,-1.976744,0.000000,0.002155
0.020000,3.584500,2.599987,3.987164,0.246121,-1.976744,0.000000,0.001633
0.020000,3.589027,2.599993,3.991691,0.206586,-1.976744,-0.000000,0.001173
0.020000,3.592764,2.599997,3.995428,0.167051,-1.976744,0.000000,0.000783
0.020000,3.595710,2.599999,3.998373,0.127516,-1.976744,0.000000,0.000469
0.020000,3.597864,2.600000,4.000528,0.087981,-1.976744,0.000000,0.000235
0.020000,3.599229,2.600000,4.001892,0.048446,-1.976744,-0.000000,0.000085
0.020000,3.599857,2.600000,4.002520,0.014339,-1.705340,13.570193,0.000016
0.020000,3.600000,2.600000,4.002664,0.000000,-0.716968,49.418605,0.000000
0.020000,3.600000,2.600000,4.002664,0.000000,0.000000,35.848412,0.000000
